threshold,f1,precision,recall,fpr,tp,fp,tn,fn
0.05,0.7121951219512195,0.5615384615384615,0.9733333333333334,0.76,219,171,54,6
0.06,0.7140495867768595,0.5684210526315789,0.96,0.7288888888888889,216,164,61,9
0.07,0.7171717171717171,0.5772357723577236,0.9466666666666667,0.6933333333333334,213,156,69,12
0.08,0.7111111111111111,0.5777777777777777,0.9244444444444444,0.6755555555555556,208,152,73,17
0.09,0.7137931034482758,0.5830985915492958,0.92,0.6577777777777778,207,148,77,18
0.1,0.721830985915493,0.597667638483965,0.9111111111111111,0.6133333333333333,205,138,87,20
0.11,0.7188612099644128,0.599406528189911,0.8977777777777778,0.6,202,135,90,23
0.12,0.7243243243243244,0.6090909090909091,0.8933333333333333,0.5733333333333334,201,129,96,24
0.13,0.7339449541284404,0.625,0.8888888888888888,0.5333333333333333,200,120,105,25
0.14,0.738404452690167,0.6337579617834395,0.8844444444444445,0.5111111111111111,199,115,110,26
0.15,0.7425373134328358,0.639871382636656,0.8844444444444445,0.49777777777777776,199,112,113,26
0.16,0.7481203007518797,0.6482084690553745,0.8844444444444445,0.48,199,108,117,26
0.17,0.7471698113207547,0.6491803278688525,0.88,0.47555555555555556,198,107,118,27
0.18,0.7448015122873346,0.6480263157894737,0.8755555555555555,0.47555555555555556,197,107,118,28
0.19,0.7533460803059273,0.6610738255033557,0.8755555555555555,0.4488888888888889,197,101,124,28
0.2,0.7620889748549323,0.6746575342465754,0.8755555555555555,0.4222222222222222,197,95,130,28
0.21,0.7596899224806202,0.6735395189003437,0.8711111111111111,0.4222222222222222,196,95,130,29
0.22,0.7587548638132295,0.6747404844290658,0.8666666666666667,0.4177777777777778,195,94,131,30
0.23,0.7602339181286549,0.6770833333333334,0.8666666666666667,0.41333333333333333,195,93,132,30
0.24,0.7632093933463796,0.6818181818181818,0.8666666666666667,0.40444444444444444,195,91,134,30
0.25,0.7662082514734774,0.6866197183098591,0.8666666666666667,0.39555555555555555,195,89,136,30
0.26,0.7662082514734774,0.6866197183098591,0.8666666666666667,0.39555555555555555,195,89,136,30
0.27,0.7677165354330708,0.6890459363957597,0.8666666666666667,0.39111111111111113,195,88,137,30
0.28,0.766798418972332,0.6903914590747331,0.8622222222222222,0.38666666666666666,194,87,138,31
0.29,0.7698412698412699,0.6953405017921147,0.8622222222222222,0.37777777777777777,194,85,140,31
0.3,0.7698412698412699,0.6953405017921147,0.8622222222222222,0.37777777777777777,194,85,140,31
0.31,0.7689243027888446,0.6967509025270758,0.8577777777777778,0.37333333333333335,193,84,141,32
0.32,0.764,0.6945454545454546,0.8488888888888889,0.37333333333333335,191,84,141,34
0.33,0.7630522088353414,0.6959706959706959,0.8444444444444444,0.3688888888888889,190,83,142,35
0.34,0.7661290322580645,0.7011070110701108,0.8444444444444444,0.36,190,81,144,35
0.35,0.7667342799188641,0.7052238805970149,0.84,0.3511111111111111,189,79,146,36
0.36,0.7642276422764228,0.704119850187266,0.8355555555555556,0.3511111111111111,188,79,146,37
0.37,0.7657841140529531,0.706766917293233,0.8355555555555556,0.3466666666666667,188,78,147,37
0.38,0.7648261758691206,0.7083333333333334,0.8311111111111111,0.3422222222222222,187,77,148,38
0.39,0.7654320987654321,0.7126436781609196,0.8266666666666667,0.3333333333333333,186,75,150,39
0.4,0.7660455486542443,0.7170542635658915,0.8222222222222222,0.3244444444444444,185,73,152,40
0.41,0.7692307692307693,0.72265625,0.8222222222222222,0.31555555555555553,185,71,154,40
